City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,acapulco,16.8634,-99.8901,24.9,57,100,0.0,MX,1679410669
1,jamestown,42.097,-79.2353,7.23,41,75,6.69,US,1679410068
2,jacksonville,30.3322,-81.6556,18.94,68,20,7.72,US,1679410655
3,oksfjord,70.2396,22.3479,-1.67,86,100,4.66,NO,1679410670
4,cherskiy,68.75,161.3,-26.11,99,100,3.37,RU,1679410671
5,naze,28.3667,129.4833,19.51,94,100,3.51,JP,1679410671
6,mataura,-46.1927,168.8643,7.01,95,100,1.15,NZ,1679410672
7,aklavik,68.2191,-135.0107,-9.0,79,100,3.6,CA,1679410672
8,barrow,71.2906,-156.7887,-18.99,78,20,5.14,US,1679410673
9,hobart,-42.8794,147.3294,13.36,81,100,2.57,AU,1679410561
10,bengkulu,-3.8004,102.2655,25.53,88,99,1.45,ID,1679410674
11,katsuura,35.1333,140.3,15.75,84,100,3.52,JP,1679410675
12,ponta do sol,32.6667,-17.1,23.17,65,48,2.11,PT,1679410675
13,bredasdorp,-34.5322,20.0403,23.39,52,20,7.82,ZA,1679410676
14,rikitea,-23.1203,-134.9692,26.14,79,48,5.86,PF,1679410676
15,hermanus,-34.4187,19.2345,21.56,74,18,6.09,ZA,1679410677
16,sitka,57.0531,-135.33,-0.06,86,0,2.57,US,1679410677
17,marrakesh,31.6315,-8.0083,27.04,22,0,5.14,MA,1679410577
18,okha,53.5739,142.9478,-2.67,97,86,2.68,RU,1679410679
19,meulaboh,4.1363,96.1285,25.74,79,100,1.33,ID,1679410679
20,goderich,43.7501,-81.7165,3.84,75,93,2.06,CA,1679410680
21,tarazona,41.9,-1.7333,20.9,34,91,3.25,ES,1679410681
22,khatanga,71.9667,102.5,-21.62,90,100,3.38,RU,1679410684
23,mahebourg,-20.4081,57.7,28.16,74,75,2.06,MU,1679410685
24,punta arenas,-53.15,-70.9167,9.06,71,75,7.2,CL,1679410686
25,busselton,-33.65,115.3333,20.81,70,100,6.35,AU,1679410687
26,isangel,-19.55,169.2667,25.46,83,94,5.7,VU,1679410688
27,codrington,-38.2667,141.9667,15.26,83,45,0.67,AU,1679410689
28,cidreira,-30.1811,-50.2056,25.7,74,28,4.25,BR,1679410690
29,elmadag,39.9208,33.2308,12.92,33,7,0.79,TR,1679410691
30,san patricio,28.017,-97.5169,21.03,89,100,6.29,US,1679410692
31,saskylakh,71.9167,114.0833,-29.53,95,26,3.97,RU,1679410693
32,castro,-24.7911,-50.0119,26.22,54,6,1.21,BR,1679410694
33,butaritari,3.0707,172.7902,27.6,76,94,7.91,KI,1679410694
34,coquimbo,-29.9533,-71.3436,18.85,88,75,1.03,CL,1679410639
35,lodja,-3.4833,23.4333,23.5,81,97,1.81,CD,1679410696
36,cabedelo,-6.9811,-34.8339,29.37,68,88,4.57,BR,1679410697
